corpus,codec,original_bytes,transformed_bytes,encoded_bytes,encoded_percent,backend_seconds,transform_seconds,transform_decode_seconds,compression_seconds,compression_mbps,decompression_seconds,decompression_mbps,transform_mbps,transform_decode_mbps,record_count,referenced_records,raw_records,residual_bytes,zero_bytes,slot_count,maximum_reference_record_size
existing-json-log-smoke,gzip-9,4194304,786599,261128,6.225776672363281,0.4315917910425924,0.06497487501474097,0.02003254200099036,0.4315917910425924,9.718220056660154,0.0,0.0,64.55270593515463,209.37452669724308,29309,29298,11,697151,3789346,1024,32768
existing-json-log-smoke,lzma-9,4194304,786599,33672,0.8028030395507812,7.884542959043756,0.06497487501474097,0.02003254200099036,7.884542959043756,0.5319653937821512,0.0,0.0,64.55270593515463,209.37452669724308,29309,29298,11,697151,3789346,1024,32768
existing-json-log-smoke,zstd-3,4194304,786599,107298,2.5581836700439453,0.009789208008442074,0.06497487501474097,0.02003254200099036,0.009789208008442074,428.46203660019194,0.0,0.0,64.55270593515463,209.37452669724308,29309,29298,11,697151,3789346,1024,32768
existing-json-log-smoke,zstd-9,4194304,786599,65960,1.5726089477539062,0.042362125008367,0.06497487501474097,0.02003254200099036,0.042362125008367,99.01070824873817,0.0,0.0,64.55270593515463,209.37452669724308,29309,29298,11,697151,3789346,1024,32768
existing-json-log-smoke,lwx2+zstd-3,4194304,786599,5849,0.1394510269165039,0.0008514999644830823,0.06497487501474097,0.02003254200099036,0.06582637497922406,63.71768157252765,0.021048958995379508,199.2642011854695,64.55270593515463,209.37452669724308,29309,29298,11,697151,3789346,1024,32768
existing-json-log-smoke,lwx2+zstd-9,4194304,786599,4890,0.11658668518066406,0.0024823330459184945,0.06497487501474097,0.02003254200099036,0.06745720806065947,62.17725459714195,0.020255583978723735,207.06902375195185,64.55270593515463,209.37452669724308,29309,29298,11,697151,3789346,1024,32768
existing-json-log-smoke,brotli-11,4194304,786599,43815,1.044631004333496,23.316871291026473,0.06497487501474097,0.02003254200099036,23.316871291026473,0.17988279592271814,0.0,0.0,64.55270593515463,209.37452669724308,29309,29298,11,697151,3789346,1024,32768
access-jsonl,gzip-9,4194304,749623,321087,7.65531063079834,0.15236283402191475,0.016656874970067292,0.00594012497458607,0.15236283402191475,27.52839317360507,0.0,0.0,251.80617658097577,706.0969285906775,22720,22709,11,679509,3813715,1024,32768
access-jsonl,lzma-9,4194304,749623,163344,3.8944244384765625,6.547856083023362,0.016656874970067292,0.00594012497458607,6.547856083023362,0.6405614214513021,0.0,0.0,251.80617658097577,706.0969285906775,22720,22709,11,679509,3813715,1024,32768
access-jsonl,zstd-3,4194304,749623,352833,8.41219425201416,0.01231874997029081,0.016656874970067292,0.00594012497458607,0.01231874997029081,340.4812996542201,0.0,0.0,251.80617658097577,706.0969285906775,22720,22709,11,679509,3813715,1024,32768
access-jsonl,zstd-9,4194304,749623,286166,6.822729110717773,0.05082416697405279,0.016656874970067292,0.00594012497458607,0.05082416697405279,82.52577955958067,0.0,0.0,251.80617658097577,706.0969285906775,22720,22709,11,679509,3813715,1024,32768
access-jsonl,lwx2+zstd-3,4194304,749623,163545,3.899216651916504,0.0034789590281434357,0.016656874970067292,0.00594012497458607,0.020135833998210728,208.3004856105144,0.007390207960270345,567.5488460606954,251.80617658097577,706.0969285906775,22720,22709,11,679509,3813715,1024,32768
access-jsonl,lwx2+zstd-9,4194304,749623,127791,3.0467748641967773,0.017792833037674427,0.016656874970067292,0.00594012497458607,0.03444970800774172,121.7515108998147,0.006978082994464785,601.0682308202756,251.80617658097577,706.0969285906775,22720,22709,11,679509,3813715,1024,32768
access-jsonl,brotli-11,4194304,749623,146326,3.4886837005615234,17.870433250034694,0.016656874970067292,0.00594012497458607,17.870433250034694,0.234706340988787,0.0,0.0,251.80617658097577,706.0969285906775,22720,22709,11,679509,3813715,1024,32768
event-jsonl,gzip-9,4194304,895379,376508,8.97665023803711,0.3966883330140263,0.017107458028476685,0.011783208989072591,0.3966883330140263,10.573298105673544,0.0,0.0,245.1740049876643,355.95600518412914,39694,39691,3,815695,3788741,1024,32768
event-jsonl,lzma-9,4194304,895379,119320,2.8448104858398438,19.860175624955446,0.017107458028476685,0.011783208989072591,19.860175624955446,0.2111916872844577,0.0,0.0,245.1740049876643,355.95600518412914,39694,39691,3,815695,3788741,1024,32768
event-jsonl,zstd-3,4194304,895379,341463,8.141112327575684,0.007895917049609125,0.017107458028476685,0.011783208989072591,0.007895917049609125,531.1990961464866,0.0,0.0,245.1740049876643,355.95600518412914,39694,39691,3,815695,3788741,1024,32768
event-jsonl,zstd-9,4194304,895379,311644,7.430171966552734,0.040850166988093406,0.017107458028476685,0.011783208989072591,0.040850166988093406,102.6753207942213,0.0,0.0,245.1740049876643,355.95600518412914,39694,39691,3,815695,3788741,1024,32768
event-jsonl,lwx2+zstd-3,4194304,895379,91380,2.178668975830078,0.0015289579750970006,0.017107458028476685,0.011783208989072591,0.018636416003573686,225.05958222845572,0.01278833398828283,327.97892233992206,245.1740049876643,355.95600518412914,39694,39691,3,815695,3788741,1024,32768
event-jsonl,lwx2+zstd-9,4194304,895379,63623,1.516890525817871,0.010473708040080965,0.017107458028476685,0.011783208989072591,0.02758116606855765,152.07130799235784,0.01252737594768405,334.8110583984993,245.1740049876643,355.95600518412914,39694,39691,3,815695,3788741,1024,32768
event-jsonl,brotli-11,4194304,895379,164254,3.9161205291748047,17.18988033401547,0.017107458028476685,0.011783208989072591,17.18988033401547,0.24399844085594236,0.0,0.0,245.1740049876643,355.95600518412914,39694,39691,3,815695,3788741,1024,32768
